word,count_1996,count_2024,freq_1996,freq_2024,log_ratio_2024_vs_1996
tolerance,0,7,0.00000000,0.00002337,0.000023
tolerancing,0,2,0.00000000,0.00000668,0.000007
tolerant,0,4,0.00000000,0.00001335,0.000013
tolkien,0,6,0.00000000,0.00002003,0.000020
tolstoy,0,4,0.00000000,0.00001335,0.000013
tomasik,0,1,0.00000000,0.00000334,0.000003
tombs,0,2,0.00000000,0.00000668,0.000007
tomographic,0,2,0.00000000,0.00000668,0.000007
tomography,0,19,0.00000000,0.00006342,0.000063
tomorrow,0,1,0.00000000,0.00000334,0.000003
ton,0,1,0.00000000,0.00000334,0.000003
tonal,0,7,0.00000000,0.00002337,0.000023
tone,0,4,0.00000000,0.00001335,0.000013
tonegawa,0,1,0.00000000,0.00000334,0.000003
toni,0,3,0.00000000,0.00001001,0.000010
too,0,1,0.00000000,0.00000334,0.000003
tool,0,22,0.00000000,0.00007344,0.000073
toolboxes,0,1,0.00000000,0.00000334,0.000003
toole,0,1,0.00000000,0.00000334,0.000003
toolkit,0,11,0.00000000,0.00003672,0.000037
toolkits,0,3,0.00000000,0.00001001,0.000010
tools,4,407,0.00104575,0.00135856,0.000312
top,1,15,0.00026144,0.00005007,-0.000211
topic,3,234,0.00078431,0.00078109,-0.000003
topical,0,16,0.00000000,0.00005341,0.000053
topically,0,1,0.00000000,0.00000334,0.000003
topographic,0,3,0.00000000,0.00001001,0.000010
topographically,0,2,0.00000000,0.00000668,0.000007
topography,0,6,0.00000000,0.00002003,0.000020
topological,0,6,0.00000000,0.00002003,0.000020
topologies,0,1,0.00000000,0.00000334,0.000003
topologists,0,1,0.00000000,0.00000334,0.000003
topology,5,42,0.00130719,0.00014020,-0.001166
topside,0,1,0.00000000,0.00000334,0.000003
toroidal,1,3,0.00026144,0.00001001,-0.000251
torque,0,1,0.00000000,0.00000334,0.000003
torsion,0,4,0.00000000,0.00001335,0.000013
total,0,30,0.00000000,0.00010014,0.000100
touch,0,5,0.00000000,0.00001669,0.000017
touches,0,6,0.00000000,0.00002003,0.000020
touching,0,2,0.00000000,0.00000668,0.000007
touchstones,0,2,0.00000000,0.00000668,0.000007
tough,0,3,0.00000000,0.00001001,0.000010
toughening,0,2,0.00000000,0.00000668,0.000007
tougher,0,2,0.00000000,0.00000668,0.000007
toughest,0,3,0.00000000,0.00001001,0.000010
toughness,0,2,0.00000000,0.00000668,0.000007
toumi,0,4,0.00000000,0.00001335,0.000013
